#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  89
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  89
#! SET periodic_psi true
   -3.141592654   -3.141592654  -16.630226210   -1.667063828    0.159259924
   -3.070995066   -3.141592654  -16.737457488   -1.372214295    0.259433786
   -3.000397478   -3.141592654  -16.820505003   -1.012992148    0.328797906
   -2.929799890   -3.141592654  -16.881096086   -0.743497481    0.333920160
   -2.859202303   -3.141592654  -16.927182756   -0.598644608    0.275916468
   -2.788604715   -3.141592654  -16.964582361   -0.479684588    0.191977382
   -2.718007127   -3.141592654  -16.991246320   -0.288088693    0.127903956
   -2.647409540   -3.141592654  -17.001789464   -0.033390437    0.117571821
   -2.576811952   -3.141592654  -16.994865883    0.190666330    0.172133104
   -2.506214364   -3.141592654  -16.975909434    0.299127931    0.285463598
   -2.435616776   -3.141592654  -16.953606125    0.297498566    0.435752383
   -2.365019189   -3.141592654  -16.933367014    0.246458207    0.586908987
   -2.294421601   -3.141592654  -16.915873906    0.225384152    0.697904510
   -2.223824013   -3.141592654  -16.897623492    0.278238053    0.737612479
   -2.153226425   -3.141592654  -16.873729539    0.371020547    0.708812703
   -2.082628838   -3.141592654  -16.843399718    0.454576492    0.647086252
   -2.012031250   -3.141592654  -16.809614933    0.463741832    0.605144567
   -1.941433662   -3.141592654  -16.777873422    0.394712763    0.616792605
   -1.870836075   -3.141592654  -16.752178831    0.308509341    0.681212968
   -1.800238487   -3.141592654  -16.731214886    0.274279897    0.767958175
   -1.729640899   -3.141592654  -16.709259948    0.332042758    0.840609234
   -1.659043311   -3.141592654  -16.679962837    0.477136501    0.884172044
   -1.588445724   -3.141592654  -16.638338765    0.682799887    0.902363707
   -1.517848136   -3.141592654  -16.580609746    0.931245821    0.908127142
   -1.447250548   -3.141592654  -16.504027656    1.213383364    0.919472374
   -1.376652961   -3.141592654  -16.407312765    1.492504711    0.956915876
   -1.306055373   -3.141592654  -16.292096795    1.734768813    1.041464900
   -1.235457785   -3.141592654  -16.160950109    1.956460635    1.183763413
   -1.164860197   -3.141592654  -16.013046695    2.217144642    1.369720441
   -1.094262610   -3.141592654  -15.843309385    2.582383792    1.565174923
   -1.023665022   -3.141592654  -15.644210539    3.038176696    1.734710151
   -0.953067434   -3.141592654  -15.412187381    3.495154036    1.857678630
   -0.882469847   -3.141592654  -15.150688743    3.860025676    1.934643729
   -0.811872259   -3.141592654  -14.867910715    4.104940705    1.979625965
   -0.741274671   -3.141592654  -14.571395825    4.261956187    2.010890873
   -0.670677083   -3.141592654  -14.265038562    4.386326625    2.040960316
   -0.600079496   -3.141592654  -13.949651480    4.515491924    2.072370426
   -0.529481908   -3.141592654  -13.625515707    4.632156452    2.099628335
   -0.458884320   -3.141592654  -13.295772025    4.665103056    2.109934431
   -0.388286732   -3.141592654  -12.969072378    4.527041882    2.078598883
   -0.317689145   -3.141592654  -12.659339407    4.187670302    1.967789535
   -0.247091557   -3.141592654  -12.380089821    3.672837375    1.730574465
   -0.176493969   -3.141592654  -12.141506756    3.036347315    1.344170615
   -0.105896382   -3.141592654  -11.951559287    2.297968675    0.834865078
   -0.035298794   -3.141592654  -11.819181048    1.401342440    0.271610746
    0.035298794   -3.141592654  -11.756613294    0.314866112   -0.267379024
    0.105896382   -3.141592654  -11.775577210   -0.885404224   -0.731058112
    0.176493969   -3.141592654  -11.877887828   -2.001590360   -1.105930187
    0.247091557   -3.141592654  -12.050328273   -2.847713995   -1.399682418
    0.317689145   -3.141592654  -12.270002658   -3.343413433   -1.626644548
    0.388286732   -3.141592654  -12.513483905   -3.533229764   -1.807419237
    0.458884320   -3.141592654  -12.763870785   -3.559397373   -1.967180620
    0.529481908   -3.141592654  -13.013755287   -3.544617686   -2.118627815
    0.600079496   -3.141592654  -13.263280965   -3.541865878   -2.250921646
    0.670677083   -3.141592654  -13.512972510   -3.546879255   -2.331471208
    0.741274671   -3.141592654  -13.760911938   -3.475718178   -2.330342685
    0.811872259   -3.141592654  -13.998540059   -3.246267644   -2.247066998
    0.882469847   -3.141592654  -14.213851317   -2.842385525   -2.111421818
    0.953067434   -3.141592654  -14.396330563   -2.332226464   -1.963059413
    1.023665022   -3.141592654  -14.541862298   -1.809143399   -1.828488454
    1.094262610   -3.141592654  -14.651501476   -1.328870829   -1.716705896
    1.164860197   -3.141592654  -14.728510868   -0.874985276   -1.628796262
    1.235457785   -3.141592654  -14.773881304   -0.426102909   -1.566879028
    1.306055373   -3.141592654  -14.787438314    0.018166191   -1.535959633
    1.376652961   -3.141592654  -14.770725153    0.421445868   -1.529725819
    1.447250548   -3.141592654  -14.729273209    0.703730635   -1.529154361
    1.517848136   -3.141592654  -14.674342387    0.795625763   -1.511681175
    1.588445724   -3.141592654  -14.620725426    0.666036794   -1.469066364
    1.659043311   -3.141592654  -14.582142845    0.394447585   -1.413177517
    1.729640899   -3.141592654  -14.563800841    0.102783947   -1.358085660
    1.800238487   -3.141592654  -14.563475311   -0.097538597   -1.307701542
    1.870836075   -3.141592654  -14.573954772   -0.210836061   -1.249964881
    1.941433662   -3.141592654  -14.591274082   -0.309638973   -1.165977490
    2.012031250   -3.141592654  -14.617095674   -0.456744886   -1.053140913
    2.082628838   -3.141592654  -14.655308606   -0.665212835   -0.924444499
    2.153226425   -3.141592654  -14.709611287   -0.895679220   -0.805797070
    2.223824013   -3.141592654  -14.780190605   -1.122666297   -0.717927250
